"Rank","Name","Rep","Post_Count","Followers","Following","Posting","Curation","Steem","Steem_Power","Steem_Dollars","Estimated_Value"
"#597","fubar-bdhr",67,"2,033","771","555","5,313,322","821,462","30","16,209","4","$19,435"
"#598","steemnet",25,"0","7","0","0","17,576","0","16,171","0","$19,348"
"#599","ineedit",25,"0","0","0","0","0","0","16,152","0","$19,325"
"#600","ace108",72.2,"25,668","2,997","2,142","21,953,419","2,638,235","1,445","16,134","96","$21,180"
"#601","screenname",67,"52,497","1,741","67","3,137,937","13,934","322","16,118","660","$20,682"
"#602","margarita-chavez",25,"3","6","1","0","1,160","2,891","15,918","0","$22,504"
"#603","arcange",68.8,"11,206","3,302","1,448","12,810,807","714,503","0","15,905","9","$19,043"
"#604","alexbeyman",73.7,"3,331","1,755","80","44,412,572","516,271","0","15,882","57","$19,089"
"#605","holbein81",58,"1,300","343","311","585,777","157,950","0","15,840","57","$19,039"
"#606","nikolai",60.7,"93","359","46","2,238,982","63,688","0","15,818","938","$20,364"
"#607","linux",25,"0","0","0","0","0","0","15,809","0","$18,914"
"#608","summon",62.4,"167","1,138","31","2,599,992","80,064,725","7,869","15,751","103","$28,417"
"#609","steemed-open",63.8,"1,378","925","689","3,093,468","197,762","3","15,742","144","$19,059"
"#610","worldclassplayer",61.5,"2,539","723","514","1,941,733","561,432","1","15,719","22","$18,842"
"#611","warofcraft",25,"0","177","0","0","247,368","4,888","15,695","5","$24,635"
"#612","moon32walker",70.5,"2,532","1,189","970","17,417,374","1,345,308","0","15,682","15","$18,785"
"#613","flexthought",51.7,"2","72","1","172,643","955","0","15,654","0","$18,729"
"#614","falkvinge",63.6,"81","1,726","11","16,004,079","12,457","141","15,649","168","$19,149"
"#615","jsfoo8",46.4,"15","73","1","57,121","0","0","15,601","0","$18,666"
"#616","double-u",59.3,"1,253","354","373","724,126","263,104","0","15,549","11","$18,621"
"#617","yabapmatt",62.3,"542","4","7","1,438,279","187,065","95","15,496","10","$18,670"
"#618","kriborin",25,"0","25","0","0","615","0","15,441","0","$18,474"
"#619","kevtorin",25,"0","28","0","0","534","0","15,441","0","$18,474"
"#620","perspective",68.4,"261","375","81","26,688,240","11,250","2,060","15,426","1","$20,922"
"#621","majes.tytyty",55.8,"976","0","0","300,831","41,860","25","15,413","389","$19,069"
"#622","vato",56.8,"723","191","40","534,896","816,237","16","15,360","39","$18,457"
"#623","problems99",25,"0","2","0","0","0","0","15,349","0","$18,365"
"#624","marcelhattingh",49.7,"35","65","2","49,666","1,721","4","15,324","8","$18,351"
"#625","happymoneyman",59.7,"3,406","560","88","1,011,266","356,650","37","15,321","32","$18,425"
"#626","hipster",66.8,"420","1,017","51","24,769,478","3,513,984","10,554","15,298","0","$30,931"
"#627","jthej70",46.9,"59","130","47","10,618","7,621","0","15,257","8","$18,267"
"#628","bigbangtheory",25,"0","2","0","0","0","0","15,240","0","$18,234"
"#629","jlwkolb",65.1,"284","240","4","12,547,911","9,017","0","15,238","3,422","$23,479"
"#630","bridgetbunchy",70.9,"893","1,256","77","35,385,988","62,508","2,849","15,221","205","$21,934"
"#631","gaman",53.3,"10,106","1,079","29","278,095","2,915","19","15,215","13","$18,247"
"#632","friend",25,"0","2","0","0","0","0","15,210","0","$18,198"
"#633","royalmacro",69,"3,920","979","598","9,616,757","1,009,243","0","15,184","2","$18,170"
"#634","joseph",73.1,"1,511","4,765","4,188","62,845,825","26,206,546","0","15,161","121","$18,325"
"#635","kingbrianboru",57.5,"506","0","0","501,043","11,989","20","15,144","3","$18,148"
"#636","helene",71.1,"3,761","2,140","1,081","23,658,293","740,364","1,248","15,126","129","$19,789"
"#637","sashadaygame",59.6,"286","506","8","1,279,443","31,278","6,950","15,089","0","$26,369"
"#638","ffvi",25,"0","2","0","0","0","0","15,086","0","$18,049"
"#639","everlove",68.2,"8,064","1,878","602","10,245,800","353,418","1,069","15,081","0","$19,323"
"#640","steppingout23",53,"1,139","590","589","254,198","113,849","0","15,077","0","$18,039"
"#641","lukewearechange",70.7,"270","3,348","2","26,238,701","4,008","6,921","14,923","6,489","$36,085"
"#642","steempire",35.3,"2","29","0","155","515,762","0","14,880","2","$17,807"
"#643","ambyr00",39.7,"16","160","1","3,272","161,963","0","14,851","0","$17,768"
"#644","slickwilly",65.4,"676","767","321","4,820,974","334,546","200","14,662","13","$17,802"
"#645","roychoi",63.8,"6,355","649","561","3,229,244","125,197","686","14,625","2,121","$21,571"
"#646","mastertri",60.5,"4,426","243","265","1,085,339","103,010","14","14,620","2","$17,512"
"#647","tomkirkham",57.4,"305","457","483","1,274,535","90,292","29","14,617","28","$17,567"
"#648","brendio",54.8,"457","554","198","271,969","568,083","149","14,598","0","$17,644"
"#649","jxwonah",46.8,"115","75","38","35,304","147,317","0","14,588","0","$17,454"
"#650","laurabanfield",4.3,"90","151","7","214,206","186,499","0","14,576","105","$17,600"
"#651","steemthebest",25,"0","0","0","0","0","0","14,542","0","$17,399"
"#652","tt-dogg",50,"466","0","0","62,846","20,231","5","14,533","0","$17,393"
"#653","benita",54,"3","62","0","593,117","767","0","14,494","4","$17,347"
"#654","mammasitta",68.7,"12,312","2,648","2,552","12,780,381","631,894","19","14,391","2","$17,244"
"#655","cm-steem",66.9,"2,431","1,323","678","6,133,062","404,134","0","14,364","2,013","$20,272"
"#656","cryptonate",42.7,"22","122","6","21,606","9,399","0","14,360","12","$17,200"
"#657","clauca23",25,"0","84","2","0","319","0","14,326","0","$17,141"
"#658","ediya",25,"5","61","13","0","15,512","0","14,272","0","$17,076"
"#659","roy2016",53.6,"385","1,233","243","242,411","176,899","0","14,261","20","$17,094"
"#660","sirvotesalot",16.7,"76","0","0","746","10,890","0","14,235","0","$17,032"
"#661","sebastianjago",66.1,"1,571","778","486","5,624,060","628,567","0","14,235","482","$17,770"
"#662","lessys",25,"0","2","0","0","558","0","14,221","0","$17,015"
"#663","randowhale",65.8,"90,895","7,163","1","6,932,651","17,276,471","0","14,199","1","$16,990"
"#664","changby",53.5,"7","114","6","920,914","28,273","0","14,198","0","$16,988"
"#665","liotap",43.5,"29","0","1","12,592","3,045","821","14,191","37","$18,018"
"#666","cryptoeera",52.1,"148","153","2","176,023","2,736","16","14,172","0","$16,976"
"#667","protegeaa",56.1,"272","130","38","434,959","50,590","13","14,169","0","$16,968"
"#668","romangt87",57,"673","572","531","638,001","424,918","0","14,125","3","$16,904"
"#669","tonyson",61.4,"124","51","0","6,433,422","84","4","14,118","1","$16,898"
"#670","bendixen",25,"0","53","0","0","458","0","14,109","0","$16,881"
"#671","sneakgeekz",55,"1,086","1,004","860","451,673","222,682","58","14,033","511","$17,643"
"#672","mrs.agsexplorer",32.9,"4","64","0","2,169","519,475","0","13,963","0","$16,706"
"#673","theyeti",25,"1","77","0","0","589,020","0","13,930","0","$16,666"
"#674","nkdk",65.7,"1,567","180","0","11,095,400","29,620","2,382","13,915","166","$19,754"
"#675","ulfr",61.4,"1,046","391","305","1,512,019","106,035","0","13,849","8","$16,582"
"#676","whatageek",68.1,"2,642","1,020","23","8,506,233","342,204","312","13,846","144","$17,159"
"#677","dubi",58.8,"2,007","1,022","874","1,941,101","1,148,872","0","13,844","0","$16,564"
"#678","danbain",57.4,"3,078","503","440","626,231","68,813","0","13,815","11","$16,546"
"#679","stan",69.8,"1,741","2,269","42","21,288,279","144,426","37","13,790","4,409","$23,304"
"#680","bitacer",55.5,"364","246","11","367,673","468,931","0","13,778","1","$16,487"
"#681","kyriacos",70.9,"9,023","3,901","70","28,935,276","679,845","0","13,778","0","$16,484"
"#682","n628",25,"0","24","1","0","87","0","13,756","0","$16,458"
"#683","steemydino",47,"90","89","6","8,818","3,840","0","13,726","0","$16,422"
"#684","airbnb",25,"0","87","0","0","0","0","13,725","0","$16,421"
"#685","ash",71.5,"3,778","1,923","75","38,621,120","829,528","35","13,624","1","$16,345"
"#686","idealist",56.9,"346","409","39","1,150,274","707,063","0","13,565","2","$16,233"
"#687","wuhotan",48.8,"60","27","27","51,373","39,207","41","13,465","0","$16,159"
"#688","steps",25,"0","0","0","0","28,549","0","13,411","64","$16,145"
"#689","bigpanda",63.4,"1,734","546","327","2,146,771","84,497","302","13,381","164","$16,623"
"#690","blakemiles84",67.3,"1,703","1,671","834","19,157,378","1,684,125","146","13,372","4","$16,179"
"#691","janusface",64.1,"1,244","546","362","3,037,547","535,891","0","13,351","33","$16,025"
"#692","floridasnail",62,"6,170","681","716","1,688,913","200,741","73","13,322","20","$16,058"
"#693","novina",59.8,"740","522","17","1,830,018","932,018","11,869","13,288","14","$30,121"
"#694","naver",49.5,"182","97","24","88,309","76,031","0","13,258","4","$15,869"
"#695","lightsplasher",65.4,"2,042","656","558","3,740,250","422,492","0","13,250","11","$15,870"
"#696","benchmark",25,"0","0","0","0","9,214","0","13,238","0","$15,839"
"#697","berkah",41,"25","243","1","2,496","1,983,728","0","13,225","1","$15,825"
"#698","titusfrost",69.9,"2,248","1,653","875","14,772,831","481,955","1","13,146","61","$15,823"
"#699","giffordde2000",54.1,"178","161","12","383,726","4,208","0","13,114","0","$15,690"
"#700","bontonstory",70.2,"5,170","1,603","1,175","15,018,785","253,978","1","13,107","1,431","$17,878"
"#701","canadian-coconut",69.1,"2,715","2,731","2,369","12,988,431","17,992,708","0","13,044","2","$15,609"
"#702","claudiop63",66.1,"701","978","313","7,375,895","665,203","0","13,039","8","$15,614"
"#703","eric-boucher",68.2,"6,106","1,698","95","11,229,592","282,180","0","13,007","1","$15,563"
"#704","lemouth",68.7,"6,834","1,335","276","14,597,062","640,863","0","12,860","51","$15,465"
"#705","rigaronib",70.7,"4,617","1,159","857","17,623,358","877,488","0","12,817","27","$15,377"
"#706","khaiyoui",61.9,"4,049","270","53","1,620,115","150,224","0","12,756","41","$15,325"
"#707","ripac",37.1,"50","88","24","206","478","0","12,683","0","$15,175"
"#708","crowdfundedwhale",66.7,"458","616","0","4,807,852","890,418","0","12,668","11","$15,173"
"#709","kenny-crane",63.8,"3,502","1,059","894","8,513,772","1,417,070","2","12,536","12","$15,019"
"#710","kpine",25,"0","636","26","0","21,580,868","0","12,533","101","$15,150"
"#711","juliank",67.7,"4,723","774","75","7,838,455","426,344","509","12,530","2","$15,605"
"#712","steevc",70.4,"15,079","1,842","1,380","12,935,588","601,380","0","12,519","2","$14,981"
"#713","beauty",25,"0","0","0","0","0","0","12,489","0","$14,943"
"#714","ninzacode",60.9,"1,171","803","730","1,261,735","362,022","0","12,485","93","$15,080"
"#715","diggndeeper.com",54,"637","790","754","303,980","75,318","441","12,471","12","$15,468"
"#716","coininstant",55.8,"351","1,424","1,452","307,934","837,143","41","12,417","19","$14,935"
"#717","gabbans",48.7,"412","65","1","17,583","13,599","0","12,397","0","$14,833"
"#718","jgcastrillo19",69.9,"1,117","491","16","13,824,039","1,070,128","0","12,380","29","$14,857"
"#719","cqf",51.9,"252","524","237","204,832","259,302","2","12,375","0","$14,808"
"#720","surfermarly",71.5,"8,883","2,574","2,333","24,480,771","511,991","6","12,372","49","$14,886"
"#721","goldenman",61.2,"1,295","564","154","1,948,440","196,402","0","12,364","8","$14,805"
"#722","bastiat",32.1,"1","62","0","50,861","2","0","12,353","0","$14,779"
"#723","midnas-howler",57.4,"160","456","52","5,126,685","3,363,588","0","12,336","1","$14,761"
"#724","lemooljiang",70.5,"3,187","865","270","14,390,845","620,253","0","12,332","7","$14,765"
"#725","metroair",25,"0","2","1","0","3,313","0","12,316","0","$14,735"
"#726","dongu",44.2,"25","579","561","28,898","1,389,460","0","12,315","16","$14,760"
"#727","anarchyhasnogods",67.6,"3,217","1,211","106","9,352,532","252,566","78","12,290","3","$14,802"
"#728","shellyduncan",58.7,"1,161","557","391","936,888","76,207","8","12,249","27","$14,707"
"#729","jlufer",72.9,"30,063","2,438","142","24,444,964","538,898","2","12,213","14","$14,637"
"#730","everittdmickey",72.4,"21,091","2,139","51","19,347,996","340,290","0","12,204","5","$14,609"
"#731","babsboard",61.8,"188","388","132","1,561,713","392,848","0","12,185","0","$14,579"
"#732","rubicon1",36.2,"10","46","3","2,531","545","200","12,185","1","$14,819"
"#733","eddie.rogovoy",45.2,"57","263","94","30,026","3,857","6","12,183","0","$14,585"
"#734","movievertigo",66,"1,396","534","41","4,647,908","443,609","0","12,176","90","$14,706"
"#735","zeartul",69.4,"3,074","998","66","12,170,556","1,561,469","0","12,169","3","$14,565"
"#736","rynow",69,"12,530","1,172","831","10,481,770","473,706","460","12,165","3","$15,110"
"#737","prufarchy",68.7,"2,819","1,090","964","10,459,686","246,419","26","12,134","3","$14,554"
"#738","fminer05",42.5,"49","153","28","10,252","142,682","108","12,119","0","$14,629"
"#739","isaaclab",64.9,"6,053","724","626","4,114,256","325,167","0","12,118","1","$14,500"
"#740","kumada90",66.2,"513","242","54","4,222,695","213,512","0","12,067","0","$14,438"
"#741","johnlauderdale",28,"1","92","9","147","4,786","0","12,065","0","$14,435"
"#742","jason",44.2,"13","355","86","3,667","798,211","1,491","12,041","1","$16,191"
"#743","greensmile",58,"856","349","25","868,957","13,617","0","12,018","492","$15,134"
"#744","datasecuritynode",36.8,"3","417","0","594,992","4,918,119","552","11,977","0","$14,990"
"#745","deanliu",72.5,"6,200","2,657","2,245","28,154,407","5,378,011","0","11,964","71","$14,423"
"#746","rebeccaryan",67.9,"6,273","1,407","718","6,967,029","413,330","0","11,961","4","$14,317"
"#747","jiff",25,"0","2","0","0","0","0","11,943","0","$14,289"
"#748","englishtchrivy",71.3,"12,583","1,692","648","21,066,358","453,855","0","11,926","19","$14,297"
"#749","bondjamesbond",25,"0","2","0","0","0","0","11,909","0","$14,249"
"#750","msbc1509",25,"0","75","1","0","1","0","11,898","0","$14,236"
"#751","zaebars",67.8,"890","717","294","7,728,556","536,578","0","11,887","215","$14,553"
"#752","mops",33,"1","26","0","400","1,128","0","11,856","0","$14,186"
"#753","vollumc",54.1,"10","48","2","2,587,809","3,088","75","11,841","47","$14,329"
"#754","asksisk",43.1,"191","734","0","19,442","1,186,133","178","11,795","12","$14,344"
"#755","the-alien",73,"4,265","2,808","339","112,318,692","2,775,238","754","11,777","3","$14,997"
"#756","marketreport",67.4,"1,504","4,954","4,961","11,465,406","134,069","0","11,776","25","$14,127"
"#757","shieha",70.4,"5,535","1,328","993","17,307,210","123,712","0","11,768","3","$14,086"
"#758","marketingmonk",67.1,"1,078","1,443","23","7,183,925","106,380","0","11,758","191","$14,360"
"#759","bcboilermaker",45.6,"9","0","0","26,598","72,104","18,598","11,727","16","$36,306"
"#760","storyseeker",65.4,"348","417","49","12,875,935","17,889","528","11,702","310","$15,107"
"#761","completelyanon",56.5,"2,772","373","1","543,020","75,159","0","11,690","7","$13,997"
"#762","ugos",9.1,"42","135","3","5,120","143,495","21,175","11,680","0","$39,309"
"#763","goldsteem",25,"0","91","0","0","556,238","0","11,671","19","$13,993"
"#764","adol",52.8,"10","377","8","411,568","3,692,449","1","11,664","72","$14,067"
"#765","sostrin",53.6,"589","37","47","179,509","61,262","61","11,636","40","$14,055"
"#766","kview",54.5,"255","208","55","377,842","620,493","0","11,585","262","$14,264"
"#767","sdt",25,"0","0","0","0","10,046","0","11,566","0","$13,839"
"#768","msf",25,"0","0","0","0","12,946","0","11,496","0","$13,755"
"#769","luna33",51.4,"91","43","0","164,259","365,026","0","11,472","0","$13,725"
"#770","sandra",62.2,"114","334","69","8,881,620","1,007,582","3,890","11,470","2","$18,381"
"#771","okotsteemit",25,"1","0","0","0","0","0","11,446","0","$13,694"
"#772","coachjin",58,"237","270","39","1,023,597","22,746","0","11,425","45","$13,739"
"#773","sheppards",25,"0","0","0","0","18,790","0","11,404","0","$13,644"
"#774","felixxx",66.5,"3,440","1,415","1,218","6,071,521","764,336","80","11,404","0","$13,741"
"#775","standingstart",25,"2","37","4","0","2,974","2,957","11,383","0","$17,158"
"#776","sykochica",70.2,"5,266","2,418","2,062","18,658,208","357,915","55","11,356","30","$13,700"
"#777","angelol",42.2,"13","0","0","10,214","10,188","105","11,322","84","$13,800"
"#778","prm",25,"0","0","0","0","32,359","0","11,308","0","$13,529"
"#779","eazyh",56.8,"1,244","1,199","1,280","482,761","9,866","0","11,294","1","$13,515"
"#780","mikegledhill1234",25,"0","5","1","0","8","0","11,275","0","$13,491"
"#781","sunshine",48.5,"94","469","265","25,171","822,190","97","11,272","1","$13,604"
"#782","bess",25,"0","0","0","0","325","0","11,262","0","$13,475"
"#783","neojew",64.1,"8,655","535","438","3,120,499","207,723","956","11,214","0","$14,561"
"#784","janaraeh",25,"0","30","0","0","345","25","11,195","0","$13,424"
"#785","matrjoschka",63.8,"408","383","224","3,378,088","24,634","14","11,185","0","$13,399"
"#786","baharoba",67.4,"1,698","1,703","921","11,362,886","2,130,724","10","11,165","0","$13,370"
"#787","bigbang",25,"0","0","0","0","0","0","11,164","0","$13,357"
"#788","galel",25,"0","0","0","0","322","0","11,158","0","$13,350"
"#789","sportspodium",66.9,"698","662","30","6,407,909","5,905","3,164","11,126","26","$17,138"
"#790","lukestokes.mhth",31.6,"1","104","1","0","21,441","198","11,118","0","$13,540"
"#791","honeydew2002",31,"1","0","0","0","328","0","11,116","0","$13,299"
"#792","mwkm",25,"0","0","0","0","14,307","0","11,095","0","$13,274"
"#793","warjar",53.1,"1,034","222","23","175,643","272,312","0","11,094","0","$13,274"
"#794","lee5",61,"1,226","452","77","1,776,665","320,948","0","11,084","3","$13,265"
"#795","minnowsupport",66.7,"98,238","4,451","7","7,214,135","4,251,239","226","11,081","72","$13,640"
"#796","back",25,"0","0","0","0","398","4","11,054","0","$13,230"
"#797","herzmeister",63.9,"891","683","643","6,935,475","347,646","0","11,029","183","$13,477"
"#798","lovedj",57.1,"1,334","319","75","696,888","99,252","0","10,997","333","$13,669"
"#799","reddust",69.5,"8,598","1,565","1,563","11,629,742","508,360","0","10,997","35","$13,211"
"#800","rainingjayz",29.5,"5","2","0","272","67","0","10,989","0","$13,148"
"#801","rivalhw",71.6,"3,872","1,029","724","21,525,163","547,046","0","10,973","37","$13,185"
"#802","booster",53.9,"34,131","2,646","0","285,542","14,939,701","11","10,936","717","$14,196"
"#803","blockchainnomad",45.3,"32","68","18","20,770","65,274","0","10,931","0","$13,079"
"#804","doinglean",51.1,"66","0","0","97,600","2,989","113","10,908","19","$13,216"
"#805","green",25,"0","2","0","0","0","0","10,906","0","$13,048"
"#806","full-measure",59,"803","683","225","815,139","334,454","0","10,892","258","$13,428"
"#807","rubybian",54.1,"35","69","1","580,753","342,313","0","10,867","30","$13,048"
"#808","kriv",29.9,"4","20","1","1,576","564","0","10,863","1","$12,999"
"#809","smailer",67.9,"1,626","852","66","13,781,392","655,782","745","10,853","3","$13,881"
"#810","countryinspired",68.3,"4,117","1,160","957","9,642,328","158,534","315","10,845","114","$13,526"
"#811","kommienezuspadt",69.2,"1,958","1,604","1,196","15,941,340","1,604,921","2,283","10,840","51","$15,779"
"#812","getonthetrain",69.1,"3,270","1,082","500","11,362,587","303,419","70","10,833","511","$13,829"
"#813","kerriknox",50.7,"345","88","57","865,102","87,760","0","10,825","136","$13,160"
"#814","simav7",25,"3","3","1","54","0","1,469","10,811","0","$14,693"
"#815","bds",25,"0","0","0","0","54,420","0","10,807","0","$12,930"
"#816","chhaylin",64.9,"1,244","866","74","8,138,234","501,147","960","10,804","49","$14,150"
"#817","kelkirie",25,"0","0","0","0","55,554","0","10,796","0","$12,917"
"#818","tosch",39.9,"77","151","23","2,772","48,708","177","10,795","4","$13,133"
"#819","serejandmyself",70.8,"1,680","1,162","448","41,242,430","1,514,808","3,000","10,786","4","$16,502"
"#820","sascha",66.4,"274","767","7","28,436,868","53,216","1,404","10,773","0","$14,569"
"#821","boxcarblue",69.6,"3,246","1,417","1,177","14,371,014","561,688","855","10,760","14","$13,920"
"#822","cryptoeagle",55.6,"710","274","274","348,928","144,301","0","10,742","1","$12,854"
"#823","spinbitz",45.7,"11","123","24","12,253","66,747","0","10,725","0","$12,833"
"#824","herpetologyguy",68,"959","770","297","9,963,245","804,890","0","10,723","222","$13,170"
"#825","tlarbcjf345",42.7,"9","0","0","13,327","27,513","4,747","10,722","2","$18,512"
"#826","jenn",25,"0","1","0","0","0","0","10,719","0","$12,824"
"#827","buildawhale",62.5,"18,815","334","0","1,850,144","9,594,212","21","10,703","172","$13,095"
"#828","steem-buzz",57.7,"658","306","57","674,033","47,081","498","10,691","6","$13,395"
"#829","d-pend",65.7,"3,188","530","180","3,965,719","813,981","0","10,669","0","$12,765"
"#830","mazzuca1",36.2,"5","6","1","729","238","0","10,665","0","$12,761"
"#831","raised2b",58.2,"647","88","88","616,035","25,166","0","10,640","3","$12,735"
"#832","tworld",63.9,"2,629","444","408","2,897,192","153,213","0","10,626","101","$12,869"
"#833","irina-ari",57.2,"27","51","3","8,310,586","2,663","0","10,612","533","$13,514"
"#834","el-mago",-1.2,"109","71","16","58,910","1,087","0","10,604","56","$12,774"
"#835","lxteem",25,"0","0","0","0","4,438","10,923","10,597","0","$25,748"
"#836","ctyptouniverse",57.4,"411","252","15","491,091","152,504","8","10,550","0","$12,632"
"#837","indend007",59.2,"982","577","621","772,391","97,098","0","10,549","32","$12,671"
"#838","ilovemylife",55.3,"1,017","47","39","223,322","56,228","0","10,544","7","$12,626"
"#839","nepd",65.8,"2,301","1,057","638","5,626,094","359,149","0","10,532","2","$12,604"
"#840","artific",54.3,"708","653","75","77,630","442,515","0","10,527","152","$12,828"
"#841","steemtruth",66.5,"1,214","1,153","742","8,939,261","495,773","33","10,520","58","$12,716"
"#842","justinw",57.9,"152","598","49","684,672","81,877","3,196","10,517","436","$17,076"
"#843","lavater",51.9,"458","263","216","128,256","24,132","14","10,507","0","$12,588"
"#844","stackin",68,"11,223","3,595","3,484","9,074,364","887,070","2,110","10,506","34","$15,147"
"#845","hilarski",73.6,"7,667","8,095","8,141","61,335,422","1,628,342","0","10,488","2","$12,551"
"#846","rubymaker",61.5,"494","207","327","1,278,017","84,002","0","10,475","148","$12,760"
"#847","blackchen",45.7,"64","147","2","31,899","843,134","0","10,473","0","$12,531"
"#848","steemsports",78.4,"2,876","3,494","48","288,553,663","3,625,866","0","10,464","5","$12,528"
"#849","fatboy",51.3,"111","425","222","137,585","1,094,884","0","10,463","0","$12,519"
"#850","majes",68.7,"4,350","1,102","793","7,687,479","678,880","0","10,462","0","$12,518"
"#851","tobixen",59.6,"427","188","25","2,490,027","52,452","0","10,461","14","$12,536"
"#852","anarchrysalis",63.6,"915","809","533","2,712,645","32,469","2,000","10,452","41","$14,961"
"#853","twinbraid",67.6,"9,717","1,190","635","8,695,104","1,415,977","256","10,427","61","$12,876"
"#854","tarazkp",69.1,"4,543","982","80","11,713,913","180,975","32","10,426","1","$12,513"
"#855","morten",25,"4","75","20","0","46,368","2,314","10,425","0","$15,242"
"#856","timsaid",72.9,"3,498","6,920","4,217","74,117,977","8,355,846","0","10,364","0","$12,400"
"#857","tabris",56.4,"1,088","278","114","450,104","281,719","0","10,361","1","$12,398"
"#858","cdubendo",52.3,"201","161","16","114,687","149,673","0","10,361","3","$12,401"
"#859","theprophet0",66.6,"942","1,674","657","11,336,605","9,848,068","0","10,355","0","$12,389"
"#860","creatr",69.7,"8,130","1,803","1,591","11,369,318","321,774","836","10,354","751","$14,540"
"#861","jamtaylor",71.2,"2,163","3,256","2,590","43,040,901","1,986,169","0","10,351","0","$12,384"
"#862","rossenpavlov",68.9,"4,734","1,375","779","9,505,666","324,251","6","10,341","2","$12,384"
"#863","reimu",25,"0","0","0","0","0","0","10,335","0","$12,366"
"#864","cristi",70.5,"1,858","1,201","63","18,969,574","245,438","0","10,320","190","$12,639"
"#865","tuck-fheman",74,"6,030","2,692","952","102,231,789","4,672,246","418","10,307","10","$12,847"
"#866","juanlibertad",59.5,"75","167","33","4,526,490","143,100","0","10,307","0","$12,331"
"#867","sonki999",52.3,"673","0","0","122,748","36,516","875","10,298","0","$13,368"
"#868","monsteroiids",26.3,"7","80","8","74","10,632","8,070","10,293","0","$21,971"
"#869","mjmitche",25,"0","0","0","0","537","22","10,260","0","$12,302"
"#870","riott",25,"7","92","6","0","44,485","0","10,256","0","$12,271"
"#871","blackrock",25,"0","0","0","0","0","0","10,231","0","$12,241"
"#872","university",25,"0","0","0","0","0","0","10,231","0","$12,241"
"#873","kalimdor",25,"0","0","0","0","0","0","10,231","0","$12,241"
"#874","alexandra-renee",59.1,"77","595","164","7,098,642","106,892","0","10,227","2","$12,239"
"#875","riosparada",68.7,"4,820","1,329","1,305","5,999,981","375,923","0","10,199","0","$12,203"
"#876","bitsignal",49.9,"228","236","26","116,927","2,019","0","10,192","36","$12,249"
"#877","joythewanderer",68.5,"4,452","1,158","639","9,954,296","433,439","0","10,186","17","$12,213"
"#878","healings",53.8,"718","174","68","245,885","76,178","0","10,172","37","$12,226"
"#879","jchch",60.4,"140","303","12","3,747,603","617,321","6","10,170","0","$12,175"
"#880","nelyp",64.6,"1,175","750","673","3,458,975","245,929","1,024","10,147","0","$13,366"
"#881","btcmillionaire",57.3,"1,502","1,382","1,390","712,413","135,233","2","10,145","0","$12,141"
"#882","arthuradamson",66.5,"2,551","793","82","7,006,597","139,661","20","10,115","20","$12,158"
"#883","lylm",54.3,"175","0","0","157,235","3,271","0","10,085","2","$12,069"
"#884","steemychicken1",63.3,"344","734","148","7,625,767","2,779,738","70","10,083","0","$12,147"
"#885","kotori",25,"0","0","0","0","0","12,665","10,081","0","$27,215"
"#886","whatsup",68.7,"6,281","1,681","1,513","9,518,387","345,234","0","10,073","11","$12,070"
"#887","conspiracy-guy",46.8,"101","236","46","27,872","92,492","0","10,042","0","$12,015"
"#888","lastminuteman",61.4,"825","780","333","1,313,595","1,004,266","2,833","10,042","63","$15,499"
"#889","linuslee0216",67.7,"1,991","747","164","7,908,554","6,561,915","504","10,023","119","$12,778"
"#890","skt1",66.5,"7,590","887","514","6,878,070","238,125","7","10,008","12","$12,000"
"#891","burnaftereading",47.4,"82","231","90","58,186","9,584","16","10,006","37","$12,048"
"#892","scaredycatguide",67.7,"5,000","1,302","293","7,018,601","444,465","0","9,998","0","$11,963"
"#893","cheftony",57.6,"510","359","35","1,966,506","244,411","1","9,957","10","$11,929"
"#894","omega",25,"0","23","0","0","235","902","9,914","0","$12,942"
"#895","noah326",57.6,"3,383","129","122","467,649","21,780","0","9,899","3","$11,848"
"#896","unlockrs",51.9,"307","121","45","118,538","48,771","0","9,880","5","$11,829"
"#897","gentlesoul",45.3,"52","31","16","21,761","24,603","0","9,819","0","$11,748"
"#898","mr-altilis",25,"4","33","2","0","5,284","0","9,794","0","$11,718"
"#899","hooshang",53.8,"309","58","22","242,263","27,933","0","9,787","0","$11,710"
"#900","dreemit",69.8,"9,530","1,369","853","13,053,893","543,700","1,587","9,726","164","$13,787"
"#901","myb",40.9,"103","82","4","7,013","169,756","0","9,721","2","$11,633"
"#902","entralive",25,"0","0","0","0","22,823","0","9,710","0","$11,617"
"#903","domtyler",25,"1","79","8","0","965","0","9,699","0","$11,604"
"#904","pressfortruth",70.6,"375","3,242","46","17,658,607","38,503","30","9,684","10","$11,637"
"#905","eroche",66.6,"4,159","1,871","1,726","6,944,069","322,436","122","9,680","27","$11,769"
"#906","gomeravibz",63.3,"2,816","795","142","2,411,249","649,861","0","9,671","76","$11,688"
"#907","dirkzett-english",52.8,"306","451","478","196,551","162,681","0","9,621","28","$11,554"
"#908","sesises",42.8,"113","143","29","1,998","180,931","0","9,555","0","$11,432"
"#909","trading-signals",55.5,"888","0","0","299,116","200","0","9,498","0","$11,364"
"#910","amazon",25,"0","2","0","0","0","0","9,493","0","$11,359"
"#911","whalecurry",25,"1","0","0","0","97,427","0","9,490","0","$11,354"
"#912","starbrush",63.8,"115","160","13","3,457,122","970,002","0","9,488","0","$11,352"
